id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,style,occasion
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt,Formal,Office
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans,Casual,Travel
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants,Sporty,Sports
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,Casual,Casual
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt,Casual,Casual
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt,Formal,Office
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt,Formal,Office
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Casual,Casual
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts,Formal,Office
42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top,Casual,College
12967,Men,Footwear,Sandal,Sandals,Black,Fall,Casual,ADIDAS Men Spry M Black Sandals,Casual,Casual
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Casual,Winter
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Buckaroo Men Flores Black Formal Shoes,Formal,Office
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,Casual,Casual
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,Formal,Office
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Casual,Casual
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt,Formal,Office
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual,Gas Men Europa White Shoes,Casual,Casual
59051,Women,Footwear,Shoes,Flats,Black,Winter,Casual,Carlton London Women Black & Gold Toned Flats,Casual,Casual
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,Ethnic,Festival
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,Casual,Casual
2886,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Leather Brown Flats,Casual,Casual
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta,Ethnic,Festival
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe,Sporty,Sports
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda,Casual,Casual
9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts,Formal,Office
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Formal,Office
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,Vishudh Women Brown Kurta,Ethnic,Festival
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,Formal,Office
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt,Casual,Casual
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt,Casual,Casual
4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Formal,Office
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts,Casual,Casual
59607,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari,Ethnic,Wedding
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts,Casual,Casual
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,Timberland Men Black Casual Shoes,Casual,Casual
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Casual,Casual
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men's Lowell White Silver Shoe,Sporty,Sports
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts,Casual,Casual
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,ID Men Red Shoes,Casual,Casual
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,Casual,Vans Men Khaki Shoes,Casual,Casual
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Formal,Office
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt,Casual,Casual
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt,Casual,Winter
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt,Casual,Casual
54118,Women,Footwear,Shoes,Heels,Black,Winter,Casual,Rocia Women Black Flats,Party,Party
2872,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,Catwalk Women Leather Flats,Party,Party
49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,Mineral Women Green Top,Casual,College
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,Casual,Crocs Dora Boots Pink Sandals,Casual,Casual
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,Casual,Casual
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Puma Men Axis White & Grey Sports Shoes,Sporty,Sports
58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,Tonga Women Maroon Top,Casual,College
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt,Casual,Casual
39716,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress,Party,Party
11940,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Ganuchi Men Casual Black Sandals,Casual,Casual
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt,Casual,Casual
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings,Party,Party
34009,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,Gini and Jony Girls Black Top,Casual,College
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men Air Rift MTR White Casual Shoe,Casual,Casual
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men White Corona Sports Shoes,Sporty,Sports
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual,Vans Men Blue Era Scilla Plaid Shoes,Casual,Casual
9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts,Casual,Casual
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports,Fila Men Destiny Grey Sports Shoes,Sporty,Sports
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,Sports,ADIDAS Men Blue Chill Sports Shoes,Sporty,Sports
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt,Formal,Office
11518,Women,Footwear,Shoes,Heels,Grey,Winter,Casual,Catwalk Women Gun Metal Grey Heels,Party,Party
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,Lotto Men Ridge Brown Sandals,Casual,Casual
59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,Formal,Office
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer,Formal,Business
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans,Casual,Travel
2618,Women,Footwear,Shoes,Flats,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal,Casual,Casual
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta,Ethnic,Festival
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Casual,Casual
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Adispeed Black Sports Shoes,Sporty,Sports
7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt,Formal,Office
18495,Men,Footwear,Sandal,Sandals,White,Fall,Casual,Puma Men Fashion Cat White Slipper,Casual,Casual
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,Casual,Winter
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt,Casual,Casual
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,Casual,Estd. 1977 Men Beige & Green Sandals,Casual,Casual
44528,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Coolers Men Black Sandals,Casual,Casual
16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts,Formal,Office
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Casual,Casual
47530,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,Portia Women Copper-Toned & Brown Sandals,Casual,Casual
6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt,Formal,Office
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt,Casual,Casual
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,Sporty,Sports
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,Casual,Casual
54127,Women,Footwear,Shoes,Heels,Black,Winter,Casual,Rocia Women Black Heels,Party,Party
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts,Casual,Casual
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Numero Uno Men White Casual Shoes,Casual,Casual
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Casual,Casual
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Casual,Casual
59638,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,FNF Green Wedding Collection Sari,Ethnic,Wedding
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,Rockport Men LLandro Red Casual Shoes,Casual,Casual
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,Casual,Skechers Women Green Shoe,Casual,Casual
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers,Formal,Office
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt,Casual,Casual
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,Casual,Winter
53130,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Brown Sandals,Casual,Casual
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt,Formal,Office
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Lotto Unisex Canvas Black Check Shoe,Casual,Casual
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Arrow Men Formal Black Shoe,Formal,Office
31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top,Casual,College
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Vans Unisex Black & Grey Classic Shoes,Casual,Casual
12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,Formal,Office
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt,Casual,Casual
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers,Formal,Office
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top,Casual,College
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,Formal,Carlton London Men Formal Brown Formal Shoes,Formal,Office
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta,Ethnic,Festival
